Period Start Date,Period End Date,Total Payable,Currency,Transaction Key,Transaction Posted Timestamp,Transaction Type,Transaction Description,Customer Order #,Customer Order line #,Purchase Order #,Purchase Order line #,Amount,Amount Type,Ship Qty,Commission Rate,Base Commission Rate,Transaction Reason Description,Partner Item Id,Partner GTIN,Partner Item Name,Product Tax Code,Ship to State,Ship to City,Ship to Zipcode,Contract Category,Product Type,Commission Rule,Shipping Method,Fulfillment Type,Fulfillment Details,Original Commission,Commission Incentive Program,Commission Saving,Customer Promo Type,Total Walmart Funded Savings Program,Campaign Id,Item Condition,Original charge,Charge Savings,Incentive Program Name,Ship to country,Store Id
"",,,,2026_07_20_262324,07/19/2026,Sale,Purchase,200015087443825,3,129120019490309,3,11.99,Product Price,1,,,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,NV,Las Vegas,89141,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_20_262324,07/19/2026,Sale,Purchase,200015087443825,3,129120019490309,3,1.00,Product tax,1,,,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,NV,Las Vegas,89141,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_20_262324,07/19/2026,Sale,Purchase,200015087443825,3,129120019490309,3,-1.00,Product tax withheld,1,,,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,NV,Las Vegas,89141,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_20_262324,07/19/2026,Sale,Purchase,200015087443825,3,129120019490309,3,-1.80,Commission on Product,1,15.00,15.00,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,NV,Las Vegas,89141,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-1.80,,0.00,,,,,,,,USA,
"",,,,2026_07_20_273235,07/19/2026,Adjustment,WFS Fulfillment fee,200015087443825,3,129120019490309,3,-3.45,Fee/Reimbursement,,,,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,NV,Las Vegas,89141,Health & Personal Care,First Aid Gauze & Pads,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_19_676113,07/18/2026,Adjustment,WFS Fulfillment fee,200015086735143,3,129120016822789,3,-3.45,Fee/Reimbursement,,,,,W5-NJYR-VLnv,00794302517365,Premium Elastic Bandage Wrap - 4k (2x6in 2x4in) - Self-Closing Strong Compression Bandage Wrap for Waist Legs Elbow and Knee,2038723,IN,Bloomfield,47424,Health & Personal Care,Adhesive Bandages,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_19_676114,07/18/2026,Sale,Purchase,200015086735143,3,129120016822789,3,10.99,Product Price,1,,,,W5-NJYR-VLnv,00794302517365,Premium Elastic Bandage Wrap - 4k (2x6in 2x4in) - Self-Closing Strong Compression Bandage Wrap for Waist Legs Elbow and Knee,2038723,IN,Bloomfield,47424,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_19_676114,07/18/2026,Sale,Purchase,200015086735143,3,129120016822789,3,0.77,Product tax,1,,,,W5-NJYR-VLnv,00794302517365,Premium Elastic Bandage Wrap - 4k (2x6in 2x4in) - Self-Closing Strong Compression Bandage Wrap for Waist Legs Elbow and Knee,2038723,IN,Bloomfield,47424,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_19_676114,07/18/2026,Sale,Purchase,200015086735143,3,129120016822789,3,-0.77,Product tax withheld,1,,,,W5-NJYR-VLnv,00794302517365,Premium Elastic Bandage Wrap - 4k (2x6in 2x4in) - Self-Closing Strong Compression Bandage Wrap for Waist Legs Elbow and Knee,2038723,IN,Bloomfield,47424,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_19_676114,07/18/2026,Sale,Purchase,200015086735143,3,129120016822789,3,-1.65,Commission on Product,1,15.00,15.00,,W5-NJYR-VLnv,00794302517365,Premium Elastic Bandage Wrap - 4k (2x6in 2x4in) - Self-Closing Strong Compression Bandage Wrap for Waist Legs Elbow and Knee,2038723,IN,Bloomfield,47424,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-1.65,,0.00,,,,,,,,USA,
"",,,,2026_07_16_734225,07/15/2026,Adjustment,WFS Fulfillment fee,200015084281313,1,129119792307803,1,-4.95,Fee/Reimbursement,,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,SC,Andrews,29510,Health & Personal Care,First Aid Gauze & Pads,,,Walmart-fulfilled(WFS),,,,,,,,,-4.95,0.00,,USA,
"",,,,2026_07_16_734226,07/15/2026,Sale,Purchase,200015084281313,1,129119792307803,1,13.99,Product Price,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,SC,Andrews,29510,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_16_734226,07/15/2026,Sale,Purchase,200015084281313,1,129119792307803,1,0.98,Product tax,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,SC,Andrews,29510,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_16_734226,07/15/2026,Sale,Purchase,200015084281313,1,129119792307803,1,-0.98,Product tax withheld,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,SC,Andrews,29510,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_16_734226,07/15/2026,Sale,Purchase,200015084281313,1,129119792307803,1,-2.10,Commission on Product,1,15.00,15.00,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,SC,Andrews,29510,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-2.10,,0.00,,,,,,,,USA,
"",,,,2026_07_12_849527,07/11/2026,Adjustment,WFS Fulfillment fee,200015083139875,1,119119353220779,1,-3.45,Fee/Reimbursement,,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,FL,North Port,34286,Health & Personal Care,Bathing Cast & Wound Covers,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_12_849528,07/11/2026,Sale,Purchase,200015083139875,1,119119353220779,1,12.99,Product Price,1,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,FL,North Port,34286,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_12_849528,07/11/2026,Sale,Purchase,200015083139875,1,119119353220779,1,0.91,Product tax,1,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,FL,North Port,34286,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_12_849528,07/11/2026,Sale,Purchase,200015083139875,1,119119353220779,1,-0.91,Product tax withheld,1,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,FL,North Port,34286,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_12_849528,07/11/2026,Sale,Purchase,200015083139875,1,119119353220779,1,-1.95,Commission on Product,1,15.00,15.00,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,FL,North Port,34286,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-1.95,,0.00,,,,,,,,USA,
"",,,,2026_07_12_583455,07/11/2026,Sale,Purchase,200015083139787,4,119119353187910,4,13.99,Product Price,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,IL,Park Forest,60466,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_12_583455,07/11/2026,Sale,Purchase,200015083139787,4,119119353187910,4,0.24,Product tax,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,IL,Park Forest,60466,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_12_583455,07/11/2026,Sale,Purchase,200015083139787,4,119119353187910,4,-0.24,Product tax withheld,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,IL,Park Forest,60466,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_12_583455,07/11/2026,Sale,Purchase,200015083139787,4,119119353187910,4,-2.10,Commission on Product,1,15.00,15.00,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,IL,Park Forest,60466,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-2.10,,0.00,,,,,,,,USA,
"",,,,2026_07_12_608018,07/11/2026,Adjustment,WFS Fulfillment fee,200015083139787,4,119119353187910,4,-4.95,Fee/Reimbursement,,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,IL,Park Forest,60466,Health & Personal Care,First Aid Gauze & Pads,,,Walmart-fulfilled(WFS),,,,,,,,,-4.95,0.00,,USA,
"",,,,2026_07_17_1497723,07/16/2026,Sale,Purchase,200015082555145,3,129119810672361,3,12.99,Product Price,1,,,,HM-OJN1-DYNW,00794302517464,Premium 2pk Mini +1 Free Shammy Cloth for Car Drying - 17?x13? - Super Absorbent Chamois Towel for Car - Scratch-Free Reusable & Soft,2038710,DE,Ellendale,19941,Home & Garden,Cleaning Cloths & Wipes,BSE-65-11.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_17_1497723,07/16/2026,Sale,Purchase,200015082555145,3,129119810672361,3,-1.95,Commission on Product,1,15.00,15.00,,HM-OJN1-DYNW,00794302517464,Premium 2pk Mini +1 Free Shammy Cloth for Car Drying - 17?x13? - Super Absorbent Chamois Towel for Car - Scratch-Free Reusable & Soft,2038710,DE,Ellendale,19941,Home & Garden,Cleaning Cloths & Wipes,BSE-65-11.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-1.95,,0.00,,,,,,,,USA,
"",,,,2026_07_17_1526732,07/16/2026,Adjustment,WFS Fulfillment fee,200015082555145,3,129119810672361,3,-3.45,Fee/Reimbursement,,,,,HM-OJN1-DYNW,00794302517464,Premium 2pk Mini +1 Free Shammy Cloth for Car Drying - 17?x13? - Super Absorbent Chamois Towel for Car - Scratch-Free Reusable & Soft,2038710,DE,Ellendale,19941,Home & Garden,Cleaning Cloths & Wipes,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_18_1546450,07/17/2026,Sale,Purchase,200015081235634,1,129119912113156,1,18.89,Product Price,1,,,,GC-5KKG-GJNW,00794302517457,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 2pk Adult Reusable Cast Protectors - Full Arm Bag Sleeves for Wounds Care - After Surgery Shower Bag for Hand Wrist Elbow Forearm,2038710,FL,Pensacola,32504,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_18_1546450,07/17/2026,Sale,Purchase,200015081235634,1,129119912113156,1,1.42,Product tax,1,,,,GC-5KKG-GJNW,00794302517457,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 2pk Adult Reusable Cast Protectors - Full Arm Bag Sleeves for Wounds Care - After Surgery Shower Bag for Hand Wrist Elbow Forearm,2038710,FL,Pensacola,32504,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_18_1546450,07/17/2026,Sale,Purchase,200015081235634,1,129119912113156,1,-1.42,Product tax withheld,1,,,,GC-5KKG-GJNW,00794302517457,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 2pk Adult Reusable Cast Protectors - Full Arm Bag Sleeves for Wounds Care - After Surgery Shower Bag for Hand Wrist Elbow Forearm,2038710,FL,Pensacola,32504,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_18_1546450,07/17/2026,Sale,Purchase,200015081235634,1,129119912113156,1,-2.83,Commission on Product,1,15.00,15.00,,GC-5KKG-GJNW,00794302517457,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 2pk Adult Reusable Cast Protectors - Full Arm Bag Sleeves for Wounds Care - After Surgery Shower Bag for Hand Wrist Elbow Forearm,2038710,FL,Pensacola,32504,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-2.83,,0.00,,,,,,,,USA,
"",,,,2026_07_18_1585033,07/17/2026,Adjustment,WFS Fulfillment fee,200015081235634,1,129119912113156,1,-3.45,Fee/Reimbursement,,,,,GC-5KKG-GJNW,00794302517457,100% Waterproof Cast Covers for Shower Arm - Tight Seal - 2pk Adult Reusable Cast Protectors - Full Arm Bag Sleeves for Wounds Care - After Surgery Shower Bag for Hand Wrist Elbow Forearm,2038710,FL,Pensacola,32504,Health & Personal Care,Bathing Cast & Wound Covers,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_23_1060548,07/22/2026,Adjustment,WFS Fulfillment fee,200015080657628,3,129120334806195,3,-4.95,Fee/Reimbursement,,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,WI,Milwaukee,53223,Health & Personal Care,First Aid Gauze & Pads,,,Walmart-fulfilled(WFS),,,,,,,,,-4.95,0.00,,USA,
"",,,,2026_07_23_1060549,07/22/2026,Sale,Purchase,200015080657628,3,129120334806195,3,13.99,Product Price,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,WI,Milwaukee,53223,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_23_1060549,07/22/2026,Sale,Purchase,200015080657628,3,129120334806195,3,1.11,Product tax,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,WI,Milwaukee,53223,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_23_1060549,07/22/2026,Sale,Purchase,200015080657628,3,129120334806195,3,-1.11,Product tax withheld,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,WI,Milwaukee,53223,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_23_1060549,07/22/2026,Sale,Purchase,200015080657628,3,129120334806195,3,-2.10,Commission on Product,1,15.00,15.00,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,WI,Milwaukee,53223,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-2.10,,0.00,,,,,,,,USA,
"",,,,2026_07_22_614010,07/21/2026,Sale,Purchase,200015080421019,1,129120229491792,1,12.99,Product Price,1,,,,HM-OJN1-DYNW,00794302517464,Premium 2pk Mini +1 Free Shammy Cloth for Car Drying - 17?x13? - Super Absorbent Chamois Towel for Car - Scratch-Free Reusable & Soft,2038710,MS,Natchez,39120,Home & Garden,Cleaning Cloths & Wipes,BSE-65-11.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_22_614010,07/21/2026,Sale,Purchase,200015080421019,1,129120229491792,1,0.91,Product tax,1,,,,HM-OJN1-DYNW,00794302517464,Premium 2pk Mini +1 Free Shammy Cloth for Car Drying - 17?x13? - Super Absorbent Chamois Towel for Car - Scratch-Free Reusable & Soft,2038710,MS,Natchez,39120,Home & Garden,Cleaning Cloths & Wipes,BSE-65-11.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_22_614010,07/21/2026,Sale,Purchase,200015080421019,1,129120229491792,1,-0.91,Product tax withheld,1,,,,HM-OJN1-DYNW,00794302517464,Premium 2pk Mini +1 Free Shammy Cloth for Car Drying - 17?x13? - Super Absorbent Chamois Towel for Car - Scratch-Free Reusable & Soft,2038710,MS,Natchez,39120,Home & Garden,Cleaning Cloths & Wipes,BSE-65-11.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_22_614010,07/21/2026,Sale,Purchase,200015080421019,1,129120229491792,1,-1.95,Commission on Product,1,15.00,15.00,,HM-OJN1-DYNW,00794302517464,Premium 2pk Mini +1 Free Shammy Cloth for Car Drying - 17?x13? - Super Absorbent Chamois Towel for Car - Scratch-Free Reusable & Soft,2038710,MS,Natchez,39120,Home & Garden,Cleaning Cloths & Wipes,BSE-65-11.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-1.95,,0.00,,,,,,,,USA,
"",,,,2026_07_22_630758,07/21/2026,Adjustment,WFS Fulfillment fee,200015080421019,1,129120229491792,1,-3.45,Fee/Reimbursement,,,,,HM-OJN1-DYNW,00794302517464,Premium 2pk Mini +1 Free Shammy Cloth for Car Drying - 17?x13? - Super Absorbent Chamois Towel for Car - Scratch-Free Reusable & Soft,2038710,MS,Natchez,39120,Home & Garden,Cleaning Cloths & Wipes,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_23_1374774,07/22/2026,Adjustment,WFS Fulfillment fee,200015080331548,1,129120436131505,1,-4.95,Fee/Reimbursement,,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,NJ,Trenton,08618,Health & Personal Care,First Aid Gauze & Pads,,,Walmart-fulfilled(WFS),,,,,,,,,-4.95,0.00,,USA,
"",,,,2026_07_23_1374775,07/22/2026,Sale,Purchase,200015080331548,1,129120436131505,1,13.99,Product Price,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,NJ,Trenton,08618,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_23_1374775,07/22/2026,Sale,Purchase,200015080331548,1,129120436131505,1,0.93,Product tax,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,NJ,Trenton,08618,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_23_1374775,07/22/2026,Sale,Purchase,200015080331548,1,129120436131505,1,-0.93,Product tax withheld,1,,,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,NJ,Trenton,08618,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_23_1374775,07/22/2026,Sale,Purchase,200015080331548,1,129120436131505,1,-2.10,Commission on Product,1,15.00,15.00,,HN-KDR6-YSNV,00794302517402,Premium Gauze Rolls - 36 Pack - 3 x 4.1yd First Aid Rolled Gauze - Individually Wrapped with 2 Bonus Tapes - Breathable Conforming Stretch Wrap for Wounds,2038945,NJ,Trenton,08618,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-2.10,,0.00,,,,,,,,USA,
"",,,,2026_07_17_931982,07/16/2026,Adjustment,WFS Fulfillment fee,200015079993821,17,129119899266932,17,-3.45,Fee/Reimbursement,,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,AL,Killen,35645,Health & Personal Care,Bathing Cast & Wound Covers,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_17_931983,07/16/2026,Sale,Purchase,200015079993821,17,129119899266932,17,12.99,Product Price,1,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,AL,Killen,35645,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_17_931983,07/16/2026,Sale,Purchase,200015079993821,17,129119899266932,17,1.04,Product tax,1,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,AL,Killen,35645,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_17_931983,07/16/2026,Sale,Purchase,200015079993821,17,129119899266932,17,-1.04,Product tax withheld,1,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,AL,Killen,35645,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
